Athropods,General Fish,Freshwater Fish,Marine Fish,Reptiles,Amphibians,Birds,Mammals,Pollen,Federally Listed,Invasive Species,Plants,Marine Fish 2,Marine Fish 3
,Dolphin fish - Corypaena hippurus,,Diaphus brachycephalus ,,,,,,,,Lakela's mint,EPINEPHELIDAE ,Shining Tubeshoulder
,Dorab,,Diaphus metopoclampus ,,,,,,,,Molokai twinsorus fern,EURYPHARYNGIDAE ,Whitelined Toadfish
,Dorado,,Diaphus mollis ,,,,,,,,Kauai digit fern,Eutrigla eutrigla,Pacific Bonito
,Dory,,Diaphus pacificus ,,,,,,,,serpent woodfern,EVERMANNELLIDAE ,Striped Bonito
,Dottyback,,Diaphus rafinesquii ,,,,,,,,na'ena'e,EXOCOETIDAE ,Atlantic Bonito
,Dragon goby,,Diaphus sp.,,,,,,,,koholapehu,FISTULARIIDAE ,Spanish Sardine
,Dragonet,,Diaphus spp.,,,,,,,,Wahiawa bog dubautia,flounder,Brazilian Sardinella
,Dragonfish,,Diaphus theta ,,,,,,,,plantainleaf dubautia,Gadus gadus,Pacific Sardine
,Driftfish,,Diapterus auratus ,,,,,,,,Wai'ale'ale dubautia,Gasterosteus gasterosteus,Deepwater Squirrelfish
,Driftwood catfish,,Diapterus peruvianus ,,,,,,,,Santa Cruz Island liveforever,GEMPYLIDAE ,Reef Squirrelfish
,Drum,,Diceratias pileatus,,,,,,,,Laguna Beach liveforever,GERREIDAE ,Saddle Squirrelfish
,Duckbill,,Dicrolene filamentosa,,,,,,,,Santa Barbara Island liveforever,GIBBERICHTHYIDAE ,Tinsel Squirrelfish
,Duckbill eel,,Diodon eydouxii ,,,,,,,,Verity's liveforever,GIGANTACTINIDAE ,Dusky Squirrelfish
,Dusky grouper,,Diodon holocanthus ,,,,,,,,smooth purple coneflower,GIGANTURIDAE ,Longface Eel
,Dusky Shark - Carcharhinus obscurus,,Diodon hystrix ,,,,,,,,Tennessee coneflower,GOBIESOCIDAE ,Largescale Lizardfish
,Dwarf gourami,,Diogenichthys atlanticus ,,,,,,,,horse maimer,Gobiusculus gobiusculus,Shortjaw Lizardfish
,Dwarf loach,,Diogenichthys laternatus ,,,,,,,,golfball cactus,GONOSTOMATIDAE ,Suspicious Lizardfish
,Eagle ray,,Diplectrum eumelum ,,,,,,,,Fosberg's love grass,GRAMMATIDAE ,Molly Miller
,Earthworm eel,,Diplectrum euryplectrum ,,,,,,,,Parish's fleabane,GRAMMICOLEPIDAE ,Blue Parrotfish
,Eastern mudminnow,,Diplectrum formosum ,,,,,,,,Zuni fleabane,grouper,Azure Parrotfish
,Eel,,Diplectrum labarum ,,,,,,,,Indian Knob mountainbalm,haddock,Bluechin Parrotfish
,Eel cod,,Diplectrum macropoma ,,,,,,,,Lompoc yerba santa,HAEMULIDAE ,Striped Parrotfish
,Eel-goby,,Diplectrum maximum ,,,,,,,,Ione buckwheat,HEMIRAMPHIDAE ,Bumphead Parrotfish
,Eelpout,,Diplectrum pacificum ,,,,,,,,Seven River Hills buckwheat,HEMITRIPTERIDAE ,Bicolor Parrotfish
,Eeltail catfish,,Diplectrum rostrum ,,,,,,,,clay-loving wild buckwheat,herring,Red Drum
,Elasmobranch,,Diplectrum sciurus ,,,,,,,,wedgeleaf snakeroot,HETERENCHELYIDAE ,Atlantic Chub Mackerel
,Electric catfish,,Diplectrum sp. ,,,,,,,,Menzies' wallflower,HEXAGRAMMIDAE ,Pacific Chub Mackerel
,Electric eel,,Diplodus holbrookii ,,,,,,,,Ben Lomond wallflower,HIMANTOLOPHIDAE ,Atlantic Mackerel
,Electric knifefish,,Diplogrammus pauciradiatus ,,,,,,,,Minnesota dwarf trout lily,Hippoglossoides hippoglossoides,Atlantic Saury
,Electric ray,,Diplophos taenia ,,,,,,,,Nellie cory cactus,HOLOCENTRIDAE ,King Mackerel
,Elephant fish,,Diplospinus multistriatus ,,,,,,,,Cochise pincushion cactus,HOWELLIDAE ,Gulf Sierra
,Elephantnose fish,,Diretmus argenteus ,,,,,,,,carpet foxtail cactus,Hyperoplus hyperoplus,Spanish Mackerel
,Elver,,Dolicholagus longirostris [Bathylagus longirostris] ,,,,,,,,uvillo,ICOSTEIDAE ,Cero
,Ember parrotfish,,Dolichopteryx binocularis,,,,,,,,nioi,IDIACANTHIDAE ,Pacific Sierra
,Emerald catfish,,Dolichopteryx longipes ,,,,,,,,Woodbury's stopper,Ijimaia antillarum ,Longfin Escolar
,Emerald shiner,,Dolichopteryx sp.,,,,,,,,Oahu sandmat,Ijimaia loppei ,Short Fin Pearleye
,Emperor,,Dolopichthys longicornis,,,,,,,,Na Pali sandmat,INCERTAE SEDIS ,Staring Pearleye
,Emperor angelfish,,Dolopichthys pullatus ,,,,,,,,Garber's spurge,IPNOPIDAE ,Bigfin Pearleye
,Emperor bream,,Dolopichthys spp.,,,,,,,,Kauai spurge,ISTIOPHORIDAE ,Pacific Blackchin
,Engraulis engraulis,,Doratonotus megalepis ,,,,,,,,Kauai sandmat,KYPHOSIDAE ,Longjaw Bigscale
,Entelurus entelurus,,Dormitator latifrons ,,,,,,,,Herbst's sandmat,LABRIDAE [SCARIDAE] ,Twospine Bigscale
,Escolar,,Dormitator maculatus ,,,,,,,,Hoover's sandmat,LABRISOMIDAE ,Waryfish
,ESOCIDAE ,,Doryrhamphus excisus excisus ,,,,,,,,kokomalei,LAMPRIDAE ,Scaly Paperbone
,Eucla cod,,Dysalotus oligoscolus,,,,,,,,Koolau Range sandmat,Limanda limanda,Blackfin Waryfish
,Eulachon,,Dysomma anguillare ,,,,,,,,Telephus spurge,LINOPHRYNIDAE ,Maul's Waryfish
,European chub,,Dysommina proboscideus,,,,,,,,Penland's alpine fen mustard,LIPARIDAE ,Windowpane
,European eel,,Echeneis naucrates ,,,,,,,,heau,Liparis liparis,Longfin Scorpionfish
,European flounder,,Echeneis neucratoides ,,,,,,,,Patagonian cypress,LOBOTIDAE ,Coral Scorpionfish
,European minnow,,Echidna nebulosa ,,,,,,,,mehamehame,LOPHIIDAE ,Goosehead Scorpionfish
,European perch,,Echidna nocturna ,,,,,,,,Johnston's seaheath,LOPHOTIDAE ,Shortfin Scorpionfish
,Eutrigla eutrigla,,Echiodon dawsoni ,,,,,,,,Mexican flannelbush,LUTJANIDAE ,Barbfish
,False brotula,,Echiodon exsilium ,,,,,,,,Gentner's fritillary,LUVARIDAE ,Smoothhead Scorpionfish
,False cat shark,,Echiophis intertinctus ,,,,,,,,Small's milkpea,mackerel,Hunchback Scorpionfish
,False moray,,Echiophis punctifer ,,,,,,,,box bedstraw,Macquarie perch ,Plumed Scorpionfish
,False trevally,,Echiostoma spp.,,,,,,,,nanu,MACRORAMPHOSIDAE ,California Scorpionfish
,Fangtooth,,Ectreposebastes imus ,,,,,,,,tinytim,MACROURIDAE ,Player Scorpionfish
,fathead minnow,,Edriolychus schmidti,,,,,,,,Hawaiian red-flowered geranium,MALACANTHIDAE ,Mushroom Scorpionfish
,Fathead sculpin,,Ekemblemaria myersi ,,,,,,,,Kauai geranium,MALACOSTEIDAE ,Smoothcheek Scorpionfish
,Featherback,,Elagatis bipinnulata ,,,,,,,,manyflowered cranesbill,MEGALOPIDAE ,Stone Scorpionfish
,Fierasfer,,Elassodiscus caudatus ,,,,,,,,yerba maricao de cueva,MELAMPHAIDAE ,Spotted Scorpionfish
,Filefish,,Elattarchus archidium ,,,,,,,,spreading avens,MELANOCETIDAE ,Reddish Scorpionfish
,Finback cat shark,,Electrona risso ,,,,,,,,matabuey,Melanogrammus melanogrammus,Sonora Scorpionfish
,Fingerfish,,Eleotris picta ,,,,,,,,hairyfruit chewstick,MELANOSTOMIIDAE ,Cabezon
,Fire bar danio,,Eleotris pisonis ,,,,,,,,smoothfruit chewstick,Merlangius merlangius,Deepreef Scorpionfish
,Fire goby,,Elops affinis ,,,,,,,,Oahu chewstick,MERLUCCIIDAE ,Rainbow Scorpionfish
,Firefish,,Elops saurus ,,,,,,,,pool sprite,MICRODESMIDAE ,Rougheye Rockfish
,Flabby whale fish,,Elops sp.,,,,,,,,Ash Meadows gumplant,MICROSTOMATIDAE ,Pacific Ocean Perch
,Flagblenny,,Embassichthys bathybius ,,,,,,,,rock gnome lichen,Microstomus microstomus,Kelp Rockfish
,Flagfin,,Emblemaria hypacanthus ,,,,,,,,showy stickseed,MIRAPINNIDAE ,Brown Rockfish
,Flagfish,,Emmelichthyops atlanticus ,,,,,,,,Johnson's seagrass,MOLIDAE ,Aurora Rockfish
,Flagtail,,Encheliophis dubius ,,,,,,,,honohono,MONACANTHIDAE ,Redbanded Rockfish
,Flashlight fish,,Encheliophis vermicularis ,,,,,,,,Harper's beauty,MONOGNATHIDAE ,Shortraker Rockfish
,Flatfish,,Enchelycore octaviana [Enchelycore octavianus] ,,,,,,,,fragrant prickly apple,MORIDAE ,Silvergray Rockfish
,Flathead,,Enchelyopus cimbrius ,,,,,,,,higo chumbo,MORINGUIDAE ,Gopher Rockfish
,Flathead catfish,,Engraulis eurystole ,,,,,,,,Todsen's pennyroyal,MUGILIDAE ,Copper Rockfish
,Flier,,Engraulis mordax ,,,,,,,,Virginia sneezeweed,MULLIDAE ,Greenspotted Rockfish
,Flounder,,Engyophrys sanctilaurentii [Engyophrys sanctilaurentia] ,,,,,,,,Louisiana quillwort,MURAENIDAE ,Black-and-Yellow Rockfish
,Flying fish,,Engyophrys senta ,,,,,,,,black spored quillwort,MYCTOPHIDAE ,Starry Rockfish
,Flying gurnard,,Enneacanthus chaetodon ,,,,,,,,mat-forming quillwort,Myoxocephalus myoxocephalus,Darkblotched Rockfish
,Footballfish,,Enneacanthus gloriosus ,,,,,,,,butternut tree,needlefish,Calico Rockfish
,Forehead brooder,,Enneacanthus obesus ,,,,,,,,Cook's bluet,NEMATISTIIDAE ,Splitnose Rockfish
,Four-eyed fish,,"Enneanectes carminalis [Axoclinus carminalis, E. sexmaculatus] ",,,,,,,,kopa,NEMICHTHYIDAE ,Greenstriped Rockfish
,French angelfish,,Enneanectes reticulatus ,,,,,,,,'kio'ele,NEOCERATIIDAE ,Puget Sound Rockfish
,freshwater,,Enneanectes sexmaculatus,,,,,,,,Waianae Range starviolet,NEOSCOPELIDAE ,Swordspine Rockfish
,Freshwater drum,,Enneanectes sp.,,,,,,,,pilo,Nerophis nerophis,Widow Rockfish
,Freshwater eel,,Enophrys bison ,,,,,,,,rockface starviolet,NETTASTOMATIDAE ,Pink Rockfish
,Freshwater hatchetfish,,Enophrys taurina ,,,,,,,,Na Pali beach starviolet,NOMEIDAE ,Yellowtail Rockfish
,Freshwater shark,,Entomacrodus chiostictus ,,,,,,,,Nevin's barberry,NOTACANTHIDAE ,Bronzespotted Rockfish
,Frigate mackerel,,Eopsetta jordani ,,,,,,,,Ihi`ihi,NOTOSUDIDAE ,Chilipepper
,Frilled shark,,Epinephelus adscensionis ,,,,,,,,Cumberland sandwort,OGCOCEPHALIDAE ,Rosethorn Rockfish
,Frogfish,,Epinephelus analogus ,,,,,,,,lavaslope centaury,ONEIRODIDAE ,Squarespot Rockfish
,Frogmouth catfish,,Epinephelus drummondhayi ,,,,,,,,Florida torreya,OPHICHTHIDAE ,Shortbelly Rockfish
,FUNDULIDAE [CYPRINODONTIDAE] ,,Epinephelus guttatus ,,,,,,,,spring-loving centaury,OPHIDIIDAE ,Freckled Rockfish
,Fusilier fish,,Epinephelus itajara ,,,,,,,,,OPISTHOPROCTIDAE ,Cowcod [Cow Rockfish]
,GADIDAE ,,Epinephelus labriformis ,,,,,,,,,OPISTOGNATHIDAE ,Mexican Rockfish
,Gadus gadus,,Epinephelus morio ,,,,,,,,,OSTRACIIDAE ,Quillback Rockfish
,Galjoen fish,,Epinephelus striatus ,,,,,,,,,PARALEPIDIDAE ,Black Rockfish
,Ganges shark,,Ernogrammus walkeri ,,,,,,,,,PARALICHTHYIDAE ,Semaphore Rockfish
,Gar,,Erotellis smaragdus ,,,,,,,,,parrotfish,Blackgill Rockfish
,Garden eel,,Esselenichthys carli [Esselenia carli] ,,,,,,,,,PEMPHERIDAE ,Vermillion Rockfish
,Garibaldi,,Esselenichthys laurae [Esselenia laurae] ,,,,,,,,,Perca perca,Blue Rockfish
,Garpike,,Etelis oculatus ,,,,,,,,,PERCOPHIDAE ,China Rockfish
,GASTEROSTEIDAE ,,Ethadophis akkistikos ,,,,,,,,,PERISTEDIIDAE ,Tiger Rockfish
,Gasterosteus gasterosteus,,Etheostoma fusiforme ,,,,,,,,,PHOLIDAE ,Speckled Rockfish
,Ghost fish,,Etheostoma sellare ,,,,,,,,,Pholis pholis,Bocaccio
,Ghost flathead,,Etheostoma serrifer ,,,,,,,,,PHOSICHTHYIDAE ,Chameleon Rockfish
,Ghost knifefish,,Etheostoma vitreum ,,,,,,,,,PHYCIDAE ,Canary Rockfish
,Ghost pipefish,,Etropus crossotus ,,,,,,,,,Platichthys platichthys,Redstripe Rockfish
,Ghost shark,,Etropus microstomus ,,,,,,,,,PLATYTROCTIDAE ,Grass Rockfish
,ghost shiner,,Etropus peruvianus ,,,,,,,,,Pleuronectes pleuronectes,Yellowmouth Rockfish
,Ghoul,,Etrumeus teres ,,,,,,,,,PLEURONECTIDAE ,Rosy Rockfish
,Giant danio,,Eucinostomus argenteus ,,,,,,,,,Pollachius pollachius,Greenblotched Rockfish
,Giant gourami,,Eucinostomus currani ,,,,,,,,,POLYMIXIIDAE ,Yelloweye Rockfish
,Giant sea bass,,Eucinostomus entomelas ,,,,,,,,,POLYNEMIDAE ,Flag Rockfish
,Gibberfish,,Eucinostomus gracilis,,,,,,,,,POLYPRIONIDAE ,Dwarf-red Rockfish
,Gila trout,,Eucinostomus gula ,,,,,,,,,POMACANTHIDAE ,Bank Rockfish
,Gizzard shad,,Eucinostomus sp,,,,,,,,,POMACENTRIDAE ,Stripetail Rockfish
,Glass catfish,,Eucyclogobius newberryi ,,,,,,,,,POMATOMIDAE ,Halfbanded Rockfish
,Glass knifefish,,Eugerres axillaris,,,,,,,,,Pomatoschistus pomatoschistus,Olive Rockfish
,Glassfish,,Euleptorhamphus velox ,,,,,,,,,PRIACANTHIDAE ,Treefish
,Glowlight danio,,Euleptorhamphus viridus ,,,,,,,,,Psetta psetta,Pinkrose Rockfish
,Goatfish,,Eumecichthys fiski ,,,,,,,,,PSYCHROLUTIDAE ,Honeycomb Rockfish
,GOBIIDAE ,,Eumegistus brevorti ,,,,,,,,,PTERELEOTRIDAE ,Harlequin Rockfish
,Gobiusculus gobiusculus,,Eurypharynx pelecanoides ,,,,,,,,,puffer,Pygmy Rockfish
,Goblin shark,,Eustomias spp.,,,,,,,,,RACHYCENTRIDAE ,Sharpchin Rockfish
,Goby,,Eutaeniophorus festivus ,,,,,,,,,RADIICEPHALIDAE ,Shortspine Thornyhead
,Golden dojo,,Euthynnus affinis ,,,,,,,,,ray,Longspine Thornyhead
,Golden loach,,Euthynnus alletteratus ,,,,,,,,,REGALECIDAE ,Bluestriped Chub
,Golden shiner,,Euthynnus lineatus ,,,,,,,,,ruffe,Bigeye Scad
,Golden trout,,Evermannella ahlstromi,,,,,,,,,SACCOPHARYNGIDAE ,Mexican Lookdown
,Goldeye,,Evermannella balbo ,,,,,,,,,Salmo salmo,Caribbean Moonfish
,Goldfish,,Evermannella indica ,,,,,,,,,Scomber scomber,Mexican Moonfish
,Gombessa,,Evermannella melanoderma ,,,,,,,,,SCOMBERESOCIDAE ,Pacific Moonfish
,Goosefish,,Evorthodus lyricus ,,,,,,,,,SCOMBRIDAE ,Atlantic Moonfish
,Gopher rockfish,,Exerpes asper ,,,,,,,,,SCOMBROLABRACIDAE,Lookdown
,Gourami,,Exocoetus monocirrhus ,,,,,,,,,SCOPELARCHIDAE ,California Sheephead
,Grass carp,,Exocoetus obtusirostris ,,,,,,,,,SCOPHTHALMIDAE ,Greater Amberjack
,grass pickerel,,Exocoetus volitans ,,,,,,,,,Scopthalmus scopthalmus,Lesser Amberjack
,gravel chub,,Facciolella gilbertii ,,,,,,,,,SCORPAENIDAE ,Yellowtail Jack
,Graveldiver,,Facciolella sp. B,,,,,,,,,scup,Fortune Jack
,Gray mullet,,Facciolella sp. C,,,,,,,,,Sea +,Almaco Jack
,Gray reef shark,,Fistularia commersonii ,,,,,,,,,sea bass,Banded Rudderfish
,Grayling,,Fistularia corneta ,,,,,,,,,Seawater +,Queenfish
,Great white shark,,Fistularia petimba ,,,,,,,,,SERRANIDAE ,Pygmy Sea Bass
,Green spotted puffer,,Fistularia tabacaria ,,,,,,,,,SERRIVOMERIDAE ,Barred Serrano
,green sunfish,,Flagellostomias boureei ,,,,,,,,,shark,Harlequin Bass
,Green swordtail,,Flagellostomias spp.,,,,,,,,,sheepshead,Stout Sawpalate
,Greeneye,,Forcipiger flavissimus ,,,,,,,,,skate,Short-tooth Sawpalate
,Greenling,,Fowlerichthys avalonis [Antennarius avalonis] ,,,,,,,,,snapper,Sawtooth Eel
,Grenadier,,Fowlerichthys ocellatus ,,,,,,,,,Solea solea,Spark Anglemouth
,Ground shark,,Fowlerichthys radiosus ,,,,,,,,,SPARIDAE ,Ebeling's Fangjaw
,Grouper,,Fundulus confluentus ,,,,,,,,,SPHYRAENIDAE ,Elongated Bristlemouth
,Grunion,,Fundulus heteroclitus ,,,,,,,,,Spinachia spinachia,Greenblotch Parrotfish
,Grunt,,Fundulus luciae ,,,,,,,,,Sprattus sprattus,Bucktooth Parrotfish
,Grunt sculpin,,Fundulus majalis ,,,,,,,,,STERNOPTYCHIDAE ,Yellowtail Parrotfish
,Grunter,,Fundulus parvipinnis ,,,,,,,,,STICHAEIDAE ,Pudgy Cuskeel
,Gudgeon,,Gadella imberbis ,,,,,,,,,STOMIIDAE ,Bullseye Puffer
,Guitarfish,,Gadus morhua ,,,,,,,,,STROMATEIDAE ,Longnose Puffer
,Gulf menhaden,,Gempylus serpens ,,,,,,,,,sword,Northern Puffer
,Gulper,,Genus B sp. A,,,,,,,,,Symphodus symphodus,Blunthead Puffer
,Gulper eel,,Genus C sp. A,,,,,,,,,SYMPHYSANODONTIDAE ,Bandtail Puffer
,Gunnel,,Genus C sp. B,,,,,,,,,SYNAPHOBRANCHIDAE ,Checkered Puffer
,Guppy,,Genyonemus lineatus ,,,,,,,,,SYNGNATHIDAE ,Pacific Barracuda
,Gurnard,,Gephyroberyx darwinii ,,,,,,,,,Syngnathus syngnathus,Great Barracuda
,Haddock,,Gerres cinereus,,,,,,,,,SYNODONTIDAE ,Sennet
,Hagfish,,Gibberichthys pumilus ,,,,,,,,,tang,Mexican Barracuda
,Hairtail,,Gibbonsia elegans ,,,,,,,,,Taurulus taurulus,Guaguanche
,Hake,,Gibbonsia metzi ,,,,,,,,,TETRAGONURIDAE ,Southern Sennet
,Halfbeak,,Gibbonsia montereyensis ,,,,,,,,,TETRAODONTIDAE ,Night Smelt
,Halfmoon,,Gigantactis gargantua,,,,,,,,,THAUMATICHTHYIDAE ,Guadalupe Blenny
,Halibut,,Gigantactis macronema,,,,,,,,,threadfin,Phallic Blenny
,Halosaur,,Gigantactis microdontis,,,,,,,,,TRACHICHTHYIDAE ,Blackbelly Blenny
,Hamlet,,Gigantactis savagei,,,,,,,,,Trachinus trachinus,Gulf Worm Blenny
,Hammerhead shark,,Gigantactis sp.,,,,,,,,,TRACHIPTERIDAE ,Eelgrass Blenny
,Hammerjaw,,Gigantactis vanhoeffeni,,,,,,,,,TRICHIURIDAE ,Dusky Damselfish
,Handfish,,Gigantura chuni ,,,,,,,,,TRIGLIDAE ,Longfin Damselfish
,Hardhead catfish,,Gigantura indica ,,,,,,,,,TRIPTERYGIIDAE ,Whitetail Damselfish
,Harelip sucker,,Gillellus arenicola ,,,,,,,,,tuna,Beaugregory
,Hatchetfish,,Gillellus jacksoni,,,,,,,,,UNIDENTIFIED LEPTOCEPHALI,Freshwater Gregory
,Hawkfish,,Gillellus semicinctus ,,,,,,,,,URANOSCOPIDAE ,Bicolor Damselfish
,Herring,,Gillellus uranidea ,,,,,,,,,XIPHIIDAE ,Cortez Damselfish
,Herring smelt,,Gillichthys mirabilis ,,,,,,,,,ZEIDAE ,Luminous Hake
,Hickory Shad,,Girella nigricans ,,,,,,,,,Zeugopterus zeugopterus,Prickelbreast Poacher
,Hillstream loach,,Glyptocephalus cynoglossus ,,,,,,,,,Zoarces zoarces,Star Drum
,HIODONTIDAE ,,Glyptocephalus zachirus ,,,,,,,,,ZOARCIDAE ,Smalleye Drum
,Hippoglossoides hippoglossoides,,Gnathanodon speciosus ,,,,,,,,,Flat Needlefish,Rothschild's Barracudina
,Hog sucker,,Gnatholepis thompsoni ,,,,,,,,,Mexican Night Sergeant,Northern Lampfish
,Hoki,,Gnathophis cinctus ,,,,,,,,,Sergeant Major,Planehead Filefish
,Horn shark,,Gnathophis sp.,,,,,,,,,Night Sergeant,Pygmy Filefish
,hornyhead chub,,Gobiesox eugrammus ,,,,,,,,,Panamic Sergeant Major,Giant Sea Bass
,Horsefish,,Gobiesox maeandricus ,,,,,,,,,Mud Sunfish,Diaphanous Hatchet Fish
,Houndshark,,Gobiesox papillifer ,,,,,,,,,Clubhead Barnacle Blenny,Highlight Hatchetfish
,Huchen,,Gobiesox rhessodon ,,,,,,,,,Browncheek Blenny,Gunther's Boafish
,Humuhumunukunukuapua'a,,Gobiesox strumosus ,,,,,,,,,Mexican Barnacle Blenny,Black-belly Dragonfish
,Hussar,,Gobioides broussonetii ,,,,,,,,,Wahoo,Boa Dragonfish
,Hyperoplus hyperoplus,,Gobionellus oceanicus ,,,,,,,,,Yellowfin Goby,Shortbarbel Dragonfish
,Icefish,,Gobiosoma bosc ,,,,,,,,,Spiny Snailfish,California Needlefish
,Ichthyomyzon unicuspis,,Gobiosoma ginsburgi ,,,,,,,,,Honeycomb Cowfish,Atlantic Needlefish
,ICTALURIDAE ,,Gobiosoma longipala ,,,,,,,,,Scrawled Cowfish,Redfin Needlefish
,Ide,,Gobiosoma parri ,,,,,,,,,Doctorfish,Timucu
,Ilisha,,Gobiosoma robustum ,,,,,,,,,Blue Tang,Fierce Pike Smelt
,Inanga,,Gobulus crescentalis ,,,,,,,,,Ocean Surgeon,Barracudina
,Inconnu,,Gonichthys cocco ,,,,,,,,,Pipehorse,Orangeside Triggerfish
,Ives Lake cisco,,Gonichthys tenuiculus ,,,,,,,,,Lined Sole,Beach Flounder
,Jack,,Gonioplectrus hispanus ,,,,,,,,,Pacific Lined Sole,Oval Flounder
,Jack Dempsey,,Gonostoma atlanticum ,,,,,,,,,Network Sole,Dusky Flounder
,Jackfish,,Gordiichthys ergodes ,,,,,,,,,Shortnose Sturgeon,Bigfin Lanternfish
,Japanese eel,,Gordiichthys irretitus ,,,,,,,,,Atlantic Sturgeon,Evermann's Lantern Fish
,Javelin,,Gordiichthys leibyi ,,,,,,,,,Kelp Poacher,Halfspotted Tonguefish
,Jawfish,,Gordiichthys randalli ,,,,,,,,,Southern spearnose Poacher,California Tonguefish
,Jellynose fish,,Gorgasia punctata ,,,,,,,,,Northern spearnose Poacher,Chocolate Tonguefish
,Jewel tetra,,Gramma linki ,,,,,,,,,Mountain Mullet,Darkcheek Tonguefish
,Jewelfish,,Gramma loreto ,,,,,,,,,Key Worm Eel,Offshore Tonguefish
,Jewfish,,Gramma melacara ,,,,,,,,,Giant Grenadier,Spottedfin Tonguefish
,John Dory,,Grammatostomias spp.,,,,,,,,,Bonefish,Elongate Tonguefish
,johnny darter,,Grammistini,,,,,,,,,African Pompano,Banded Tonguefish
,Kafue pike,,Grammonus claudei ,,,,,,,,,Shortnose Lancetfish,Dwarf Tonguefish
,Kahawai,,Grammonus diagrammus [Oligopus diagrammus] ,,,,,,,,,Longnose Lancetfish,Blacktail Tonguefish
,Kaluga,,Gunterichthys longipenis ,,,,,,,,,California Slickhead,Drab Tonguefish
,Kanyu,,Gymnomuraena zebra ,,,,,,,,,Island Kelpfish,Darkbelly Tonguefish
,Kelp perch,,Gymnothorax castaneus ,,,,,,,,,Whitebait Smelt,Largescale Tonguefish
,Kelpfish,,Gymnothorax conspersus ,,,,,,,,,Slender Tuna,Whitetail Tonguefish
,Killifish,,Gymnothorax dovii ,,,,,,,,,Blueback Herring,Deepwater Tonguefish
,King of the herrings,,Gymnothorax equatorialis ,,,,,,,,,Hickory Shad,Blackcheek Tonguefish
,Kingfish,,Gymnothorax funebris ,,,,,,,,,American Shad,Halfstriped Tonguefish
,King-of-the-salmon,,Gymnothorax miliaris ,,,,,,,,,Mutton Hamlet,Northern Tonguefish
,Kissing gourami,,Gymnothorax mordax ,,,,,,,,,Dotterel Filefish,Cow Tonguefish
,kiyi,,Gymnothorax moringa ,,,,,,,,,Unicorn Filefish,Yellow Tonguefish
,Knifefish,,Gymnothorax ocellatus or nigromarginatus or saxicola ,,,,,,,,,Orange Filefish,Slope Bass
,Knifejaw,,Gymnothorax panamensis ,,,,,,,,,Scrawled Filefish,Blackmouth Bass
,Koi,,Gymnothorax sp. A,,,,,,,,,Redspotted Hawkfish,Keelcheek Bass
,Kokanee,,Gymnothorax sp. B,,,,,,,,,White Catfish,Threespine Bass
,Kokopu,,Gymnothorax sp. C,,,,,,,,,Pacific Sand Lance,Northern Cutthroat Eel
,Kuhli loach,,Gymnothorax sp. D,,,,,,,,,American Sand Lance,Blacklip Dragonet
,Labyrinth fish,,Gymnothorax sp. E,,,,,,,,,Panamic Sand Lance,Manacled Sculpin
,Ladyfish,,Gymnothorax verrilli ,,,,,,,,,Hardtail Moray,Barred Pipefish
,Lake chub,,Gymnothorax vicinus ,,,,,,,,,Pygmy Moray,Kelp Pipefish
,Lake sturgeon,,Haemulon aurolineatum ,,,,,,,,,Fringed Pipefish,Chocolate Pipefish
,Lake trout,,Haemulon bonariense ,,,,,,,,,Insular Pipefish,Barcheek Pipefish
,Lake whitefish,,Haemulon californiensis  [Xenistius californiensis] ,,,,,,,,,Wolf-eel,Dusky Pipefish
,Lampfish,,Haemulon carbonarium ,,,,,,,,,Key Anchovy,Northern Pipefish
,Lamprey,,Haemulon chysargyreum ,,,,,,,,,Deepbody Anchovy,Guadalupe Pipefish
,Lancetfish,,Haemulon flaviguttatum ,,,,,,,,,Cuban Anchovy,Bay Pipefish
,Lanternfish,,Haemulon flavolineatum ,,,,,,,,,Short Anchovy,Chain Pipefish
,Largemouth bass,,Haemulon macrostomum ,,,,,,,,,Slough Anchovy,Sargassum Pipefish
,Leaffish,,Haemulon maculicauda ,,,,,,,,,Slender Anchovy,Gulf Pipefish
,Leatherjacket,,Haemulon melanurum ,,,,,,,,,Striped Anchovy,Bull Pipefish
,Lefteye flounder,,Haemulon parra ,,,,,,,,,Sharpnose Anchovy,Spotted Lizardfish
,Lemon shark,,Haemulon plumieri ,,,,,,,,,Bright Anchovy,Inshore Lizardfish
,Lemon sole,,Haemulon sciurus ,,,,,,,,,Dusky Anchovy,Sand Diver
,Lemon tetra,,Haemulon scudderi ,,,,,,,,,Bay Anchovy,Calico Lizardfish
,Lenok,,Haemulon sexfasciatum ,,,,,,,,,Bignose Anchovy,California Lizardfish
,Leopard danio,,Haemulon striatum ,,,,,,,,,Persistent Anchovy,Offshore Lizardfish
,LEPISOSTEIDAE ,,Haemulon vittatum ,,,,,,,,,Zabaleta Anchovy,Bluestripe Lizardfish
,Lightfish,,Halargyreus johnsonii ,,,,,,,,,Bigscale Anchovy,Lance Lizardfish
,Limanda limanda,,Halicampus crinitus ,,,,,,,,,Flat Anchovy,Iguana Lizardfish
,Limia,,Halichoeres bivattatus ,,,,,,,,,Threespot Sand Flounder,Red Lizardfish
,Lined sole,,Halichoeres dispilus ,,,,,,,,,Ocellated Flounder,Waistcoat Lanternfish
,Ling,,Halichoeres garnoti ,,,,,,,,,European Eel,Longfin Dragonfish
